dataset,fea_dim_pair,model,seed,auc,bce_loss
'placeholder','x,''x',0,0.1,0.1
movielens-1m,"{'genres': 1, 'movie_id': 1, 'title': 2, 'user_id': 3}",widedeep,0,0.8060003230804509,0.5241517871618271
movielens-1m,"{'genres': 1, 'movie_id': 1, 'title': 2, 'user_id': 3}",widedeep,1,0.8058729451090896,0.524760348101457
movielens-1m,"{'genres': 1, 'title': 1, 'user_id': 1, 'zip': 1}",widedeep,0,0.7968433056150201,0.5343590552608172
movielens-1m,"{'genres': 1, 'title': 1, 'user_id': 1, 'zip': 1}",widedeep,1,0.796074293841113,0.5352494517962137
movielens-1m,"{'genres': 1, 'movie_id': 4, 'timestamp': 1, 'title': 4, 'user_id': 3}",widedeep,0,0.7925610496443927,0.5388980582356453
movielens-1m,"{'genres': 1, 'movie_id': 4, 'timestamp': 1, 'title': 4, 'user_id': 3}",widedeep,1,0.7909078902242825,0.5401072079936663
movielens-1m,"{'genres': 1, 'movie_id': 2, 'title': 2, 'user_id': 2}",widedeep,0,0.8035283609973043,0.5274883930881819
movielens-1m,"{'genres': 1, 'movie_id': 2, 'title': 2, 'user_id': 2}",widedeep,1,0.8028771099152386,0.5283025950193405
movielens-1m,"{'age': 16, 'gender': 16, 'genres': 16, 'movie_id': 16, 'occupation': 16, 'timestamp': 16, 'title': 16, 'user_id': 16, 'zip': 16}",widedeep,0,0.7937713036426637,0.5370819866657257
movielens-1m,"{'age': 16, 'gender': 16, 'genres': 16, 'movie_id': 16, 'occupation': 16, 'timestamp': 16, 'title': 16, 'user_id': 16, 'zip': 16}",widedeep,1,0.7937402452192184,0.5370802655816078
movielens-1m,"{'gender': 2, 'genres': 7, 'movie_id': 4, 'occupation': 8, 'timestamp': 5, 'title': 14, 'user_id': 5, 'zip': 5}",widedeep,0,0.7930879327740578,0.5380230396986008
movielens-1m,"{'gender': 2, 'genres': 7, 'movie_id': 4, 'occupation': 8, 'timestamp': 5, 'title': 14, 'user_id': 5, 'zip': 5}",widedeep,1,0.794157884397056,0.536977174381415
movielens-1m,"{'genres': 3, 'movie_id': 9, 'timestamp': 4, 'title': 4, 'user_id': 4, 'zip': 1}",widedeep,0,0.7941528683340815,0.5368311628699303
movielens-1m,"{'genres': 3, 'movie_id': 9, 'timestamp': 4, 'title': 4, 'user_id': 4, 'zip': 1}",widedeep,1,0.7933560112377345,0.5384767577052116
movielens-1m,"{'genres': 1, 'movie_id': 2, 'title': 4, 'user_id': 6}",widedeep,0,0.8100137863061329,0.5218449135621389
movielens-1m,"{'genres': 1, 'movie_id': 2, 'title': 4, 'user_id': 6}",widedeep,1,0.806906784128079,0.523892434934775
movielens-1m,"{'movie_id': 4, 'title': 3, 'user_id': 6}",widedeep,0,0.8058850978435843,0.5255099659164747
movielens-1m,"{'movie_id': 4, 'title': 3, 'user_id': 6}",widedeep,1,0.8075748808551632,0.5229237824678421
movielens-1m,"{'age': 2, 'gender': 14, 'genres': 13, 'movie_id': 2, 'occupation': 7, 'timestamp': 15, 'title': 5, 'user_id': 15, 'zip': 5}",widedeep,0,0.7944037805414615,0.5368777339657148
movielens-1m,"{'age': 2, 'gender': 14, 'genres': 13, 'movie_id': 2, 'occupation': 7, 'timestamp': 15, 'title': 5, 'user_id': 15, 'zip': 5}",widedeep,1,0.7930175488573629,0.5378183275461197
movielens-1m,"{'age': 1, 'gender': 14, 'genres': 15, 'movie_id': 16, 'occupation': 13, 'timestamp': 8, 'title': 6, 'user_id': 8, 'zip': 13}",widedeep,0,0.7947697034683866,0.5364590982596079
movielens-1m,"{'age': 1, 'gender': 14, 'genres': 15, 'movie_id': 16, 'occupation': 13, 'timestamp': 8, 'title': 6, 'user_id': 8, 'zip': 13}",widedeep,1,0.794252051995297,0.5378266349434853
aliccp,"{'101': 16, '109_14': 16, '110_14': 16, '121': 16, '122': 16, '124': 16, '125': 16, '126': 16, '127': 16, '127_14': 16, '128': 16, '129': 16, '150_14': 16, '205': 16, '206': 16, '207': 16, '210': 16, '216': 16, '301': 16, '508': 16, '509': 16, '702': 16, '853': 16}",widedeep,0,0.6573710038227537,0.15822160690593445
aliccp,"{'101': 16, '109_14': 16, '110_14': 16, '121': 16, '122': 16, '124': 16, '125': 16, '126': 16, '127': 16, '127_14': 16, '128': 16, '129': 16, '150_14': 16, '205': 16, '206': 16, '207': 16, '210': 16, '216': 16, '301': 16, '508': 16, '509': 16, '702': 16, '853': 16}",widedeep,1,0.6587194892573304,0.15820264814852752
aliccp,"{'101': 8, '109_14': 4, '110_14': 3, '121': 2, '122': 2, '124': 1, '125': 2, '127': 1, '127_14': 4, '150_14': 2, '205': 5, '206': 3, '207': 2, '210': 1, '216': 3, '301': 2, '508': 2, '509': 2, '702': 2, '853': 2}",widedeep,0,0.6587324051503525,0.1581636946308395
aliccp,"{'101': 8, '109_14': 4, '110_14': 3, '121': 2, '122': 2, '124': 1, '125': 2, '127': 1, '127_14': 4, '150_14': 2, '205': 5, '206': 3, '207': 2, '210': 1, '216': 3, '301': 2, '508': 2, '509': 2, '702': 2, '853': 2}",widedeep,1,0.6589418753221264,0.15805387645816713
aliccp,"{'101': 6, '109_14': 5, '110_14': 3, '124': 1, '125': 2, '127_14': 5, '150_14': 2, '205': 7, '206': 3, '207': 4, '210': 2, '216': 5, '301': 1, '508': 4, '509': 2, '702': 1, '853': 3}",widedeep,0,0.658729740640643,0.1581201009187529
